Date,Open,High,Low,Close,Volume
01/30/2026,"425.35","439.88","422.70","430.41","82,626,070"
01/29/2026,"437.80","440.23","414.62","416.56","81,686,125"
01/28/2026,"431.91","438.26","430.10","431.46","54,857,398"
01/27/2026,"437.41","437.52","430.69","430.90","37,733,078"
01/26/2026,"445.00","445.04","434.28","435.20","49,397,422"
01/23/2026,"447.43","452.43","444.04","449.06","56,771,359"
01/22/2026,"435.16","449.50","432.63","449.36","71,546,727"
01/21/2026,"421.66","438.20","419.62","431.44","68,123,992"
01/20/2026,"429.36","430.73","417.44","419.25","63,187,340"
01/16/2026,"439.50","447.25","435.26","437.50","60,220,551"
01/15/2026,"441.13","445.36","437.65","438.57","49,465,809"
01/14/2026,"442.81","443.91","434.22","439.20","57,259,500"
01/13/2026,"450.20","451.81","443.95","447.20","53,719,207"
01/12/2026,"441.23","454.30","438.00","448.96","61,649,633"
01/09/2026,"435.95","449.05","430.39","445.01","67,331,453"
01/08/2026,"427.89","436.89","424.37","435.80","57,041,090"
01/07/2026,"435.90","438.37","431.29","431.41","59,828,793"
01/06/2026,"446.38","448.25","428.78","432.96","89,093,758"
01/05/2026,"447.99","457.55","444.57","451.67","67,940,844"
01/02/2026,"457.80","458.34","435.30","438.07","85,535,406"
12/31/2025,"456.10","456.55","449.30","449.72","49,077,961"
12/30/2025,"461.09","463.12","453.83","454.43","59,238,461"
12/29/2025,"469.00","469.40","459.00","459.64","66,263,031"
12/26/2025,"485.23","489.09","473.82","475.19","58,780,660"
12/24/2025,"488.48","490.90","476.80","485.40","41,285,434"
12/23/2025,"489.40","491.97","482.84","485.56","58,223,633"
12/22/2025,"489.88","498.83","485.33","488.73","86,916,070"
12/19/2025,"488.12","490.49","474.72","481.20","103,305,398"
12/18/2025,"478.16","490.86","473.12","483.37","95,168,445"
12/17/2025,"488.22","495.28","466.20","467.26","106,490,398"
12/16/2025,"472.21","491.50","465.83","489.88","107,608,094"
12/15/2025,"469.44","481.77","467.66","475.31","114,542,203"
12/12/2025,"448.09","463.01","441.67","458.96","95,656,750"
12/11/2025,"448.95","449.27","440.33","446.89","55,979,488"
12/10/2025,"446.07","456.88","443.61","451.45","63,257,480"
12/09/2025,"437.54","452.39","435.70","445.17","62,367,441"
12/08/2025,"447.45","449.75","435.25","439.58","69,165,750"
12/05/2025,"453.03","458.87","451.66","455.00","56,427,520"
12/04/2025,"449.94","454.63","445.39","454.53","71,906,484"
12/03/2025,"432.10","447.92","431.11","446.74","87,482,961"
12/02/2025,"430.81","436.80","422.12","429.24","69,336,633"
12/01/2025,"425.32","433.66","425.29","430.14","57,033,600"
11/28/2025,"426.59","432.93","426.20","430.17","36,233,200"
11/26/2025,"423.95","426.94","416.89","426.58","63,463,000"
11/25/2025,"414.42","420.48","405.95","419.40","71,915,617"
11/24/2025,"402.17","421.72","401.09","417.78","96,806,367"
11/21/2025,"402.32","402.80","383.76","391.09","100,460,602"
11/20/2025,"414.63","428.94","394.74","395.23","113,548,797"
11/19/2025,"406.18","411.78","398.50","403.99","72,047,695"
11/18/2025,"405.38","408.90","393.71","401.25","80,688,641"
11/17/2025,"398.74","423.96","398.74","408.92","102,214,305"
11/14/2025,"386.30","412.19","382.78","404.35","105,506,703"
11/13/2025,"423.13","424.50","396.34","401.99","118,948,000"
11/12/2025,"442.15","442.33","426.56","430.60","58,513,520"
11/11/2025,"439.40","442.49","432.36","439.62","60,533,238"
11/10/2025,"439.60","449.67","433.36","445.23","76,515,914"
11/07/2025,"437.92","439.36","421.88","429.52","103,471,508"
11/06/2025,"461.96","467.45","435.09","445.91","109,622,898"
11/05/2025,"452.05","466.33","440.71","462.07","85,573,023"
11/04/2025,"454.46","460.22","443.60","444.26","87,756,641"
11/03/2025,"455.99","474.07","453.80","468.37","84,595,242"
